;Time(s)       Ch0/V           Ch0/V           Ch2/V           Ch3/V           Z_Motor         Beam_current    temperature     Absorbance
;lambda (nm)   110.000
130.508        0.0002          -0.0006         -1.53680        -0.00020        0.0000          183.1750        -50.16          0.000
131.258        0.0002          -0.0006         -1.54170        -0.00020        0.0000          183.1475        -50.16          0.000
132.018        0.0002          -0.0006         -1.54170        -0.00020        0.0000          183.1384        -50.16          0.000
132.758        0.0002          -0.0005         -1.53800        -0.00020        0.0000          183.1200        -50.16          0.000
133.508        0.0002          -0.0005         -1.53500        -0.00020        0.0000          183.0925        -50.12          0.000
134.258        0.0002          -0.0006         -1.53670        -0.00020        0.0000          183.0742        -50.12          0.000
135.018        0.0002          -0.0006         -1.53890        -0.00020        0.0000          183.0559        -50.16          0.000
135.758        0.0002          -0.0006         -1.53950        -0.00020        0.0000          183.0376        -50.16          0.000
136.508        0.0002          -0.0006         -1.54210        -0.00020        0.0000          183.0192        -50.16          0.000
137.258        0.0002          -0.0005         -1.54200        -0.00020        0.0000          183.0009        -50.16          0.000
138.019        0.0002          -0.0005         -1.54060        -0.00020        0.0000          182.9826        -50.16          0.000
138.769        0.0002          -0.0005         -1.53530        -0.00020        0.0000          182.9642        -50.16          0.000
139.510        0.0002          -0.0006         -1.53700        -0.00020        0.0000          182.9459        -50.12          0.000
140.269        0.0002          -0.0006         -1.54010        -0.00020        0.0000          182.9184        -50.16          0.000
141.001        0.0002          -0.0006         -1.53910        -0.00020        0.0000          182.9093        -50.16          0.000
141.761        0.0002          -0.0006         -1.54440        -0.00020        0.0000          182.8818        -50.16          0.000
142.511        0.0002          -0.0006         -1.54450        -0.00020        0.0000          182.8634        -50.12          0.000
143.261        0.0002          -0.0005         -1.54090        -0.00020        0.0000          182.8451        -50.16          0.000
144.011        0.0002          -0.0006         -1.53760        -0.00020        0.0000          182.8268        -50.16          0.000
144.761        0.0002          -0.0005         -1.53910        -0.00020        0.0000          182.8084        -50.16          0.000
145.511        0.0002          -0.0005         -1.54110        -0.00020        0.0000          182.7901        -50.16          0.000
146.261        0.0002          -0.0006         -1.54230        -0.00020        0.0000          182.7718        -50.16          0.000
147.001        0.0002          -0.0006         -1.54510        -0.00020        0.0000          182.7535        -50.16          0.000
147.753        0.0002          -0.0006         -1.54470        -0.00020        0.0000          182.7351        -50.16          0.000
148.503        0.0002          -0.0005         -1.54290        -0.00020        0.0000          182.7168        -50.12          0.000
149.253        0.0002          -0.0005         -1.53740        -0.00020        0.0000          182.6985        -50.16          0.000
150.013        0.0002          -0.0006         -1.53930        -0.00020        0.0000          182.6710        -50.12          0.000
150.754        0.0002          -0.0006         -1.54320        -0.00020        0.0000          182.6618        -50.16          0.000
151.514        0.0002          -0.0006         -1.54210        -0.00020        0.0000          182.6343        -50.16          0.000
152.254        0.0002          -0.0006         -1.54660        -0.00020        0.0000          182.6160        -50.12          0.000
153.014        0.0002          -0.0006         -1.54680        -0.00020        0.0000          182.6068        -50.16          0.000
153.766        0.0002          -0.0006         -1.54330        -0.00020        0.0000          182.5793        -50.16          0.000
154.505        0.0002          -0.0006         -1.54050        -0.00020        0.0000          182.5610        -50.16          0.000
155.265        0.0002          -0.0006         -1.54220        -0.00020        0.0000          182.5427        -50.16          0.000
156.006        0.0002          -0.0006         -1.54420        -0.00020        0.0000          182.5243        -50.16          0.000
156.766        0.0002          -0.0006         -1.54400        -0.00020        0.0000          182.5152        -50.16          0.000
157.506        0.0002          -0.0006         -1.54730        -0.00020        0.0000          182.4877        -50.12          0.000
158.256        0.0002          -0.0006         -1.54810        -0.00020        0.0000          182.4693        -50.16          0.000
159.006        0.0002          -0.0005         -1.54640        -0.00020        0.0000          182.4510        -50.16          0.000
159.756        0.0002          -0.0006         -1.54110        -0.00020        0.0000          182.4327        -50.16          0.000
160.506        0.0002          -0.0006         -1.54150        -0.00020        0.0000          182.4144        -50.16          0.000
161.265        0.0002          -0.0005         -1.54530        -0.00020        0.0000          182.3960        -50.16          0.000
162.016        0.0002          -0.0006         -1.54440        -0.00020        0.0000          182.3777        -50.12          0.000
162.767        0.0002          -0.0006         -1.54920        -0.00020        0.0000          182.3594        -50.16          0.000
163.506        0.0002          -0.0005         -1.55000        -0.00020        0.0000          182.3410        -50.16          0.000
164.257        0.0002          -0.0006         -1.54680        -0.00020        0.0000          182.3227        -50.16          0.000
165.016        0.0002          -0.0005         -1.54410        -0.00020        0.0000          182.3135        -50.16          0.000
165.757        0.0002          -0.0006         -1.54280        -0.00020        0.0000          182.2861        -50.12          0.000
166.508        0.0002          -0.0006         -1.54540        -0.00020        0.0000          182.2586        -50.16          0.000
167.268        0.0002          -0.0006         -1.54580        -0.00020        0.0000          182.2402        -50.16          0.000
168.008        0.0002          -0.0006         -1.54910        -0.00020        0.0000          182.2311        -50.16          0.000
168.757        0.0002          -0.0006         -1.55110        -0.00020        0.0000          182.2036        -50.16          0.000
