O1s_f(T)_Wave0	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave4	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave8	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave12	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave16	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3	O1s_f(T)_Wave20	O1s_f(T)_ fitresult	O1s_f(T)_ peak 2	O1s_f(T)_ peak 3
1646.6031	1646.03474623448	1645.1401796741	1065.57610314514	4569.07835	4586.05897608066	4585.97555812341	4265.57746982689	8297.3028	8299.92421050215	8295.04964287999	7565.08499539254	11631.89695	11613.6067400947	11604.7581722622	10778.8830448433	14867.8808	14916.9756524112	14902.0394394841	14036.3317418492	18076.47635	18074.8483809589	18057.8236280642	17233.1729571387
1587.1119	1604.42506085343	1603.94320737288	1065.07449210327	4571.91255	4572.20501679244	4572.16221826005	4265.55683699929	8162.4279	8219.49112567077	8216.80458047015	7562.98385137479	11463.03905	11501.4077991607	11496.4940510428	10775.2562837787	14789.3908	14781.590523135	14773.1755855261	14030.6617901949	17905.12905	17935.0878292117	17925.4277256782	17226.6533363698
1568.6592	1560.20087432803	1559.94856668753	1064.75604830119	4537.18665	4555.62489778844	4555.60355204601	4265.55537080657	8152.1317	8141.6673845636	8140.22803836317	7561.82353077837	11405.68795	11397.8083477779	11395.1557838593	10773.3031582295	14658.3332	14660.7326253302	14656.1239685534	14027.7068330268	17815.13525	17812.6601858378	17807.3317982688	17223.1666489976
1503.6152	1514.47202698297	1514.34359923546	1064.54327044616	4526.87285	4536.8258364958	4536.81548729738	4265.56436085981	8108.8696	8067.51946599568	8066.76983171099	7561.22069726641	11295.58615	11303.3196133055	11301.9276368592	10772.3506294072	14569.9812	14553.9589211596	14551.5052808785	14026.4031401951	17723.68805	17706.4744406275	17703.6173573898	17221.5403732586
1506.0339	1468.32915930877	1468.26561152777	1064.38949251762	4514.58565	4516.36207079022	4516.35719308866	4265.5788759602	8043.1724	7997.98330298846	7997.60377249293	7560.93747188104	11273.06965	11218.276453251	11217.5663672075	10771.9767976544	14521.3384	14460.7206780848	14459.4508045239	14026.0706971387	17642.75155	17615.3937000516	17613.9044657136	17221.0175529513
1424.512	1422.78774954118	1422.7571823892	1064.26761392657	4507.24255	4494.80594412651	4494.80370933612	4265.59621964629	7931.3268	7933.79945540618	7933.61266396388	7560.83161123158	11204.94475	11142.7854094927	11142.4332794102	10771.9269003433	14419.1583	14380.3171004204	14379.6782147744	14026.2910328879	17629.13685	17538.203589475	17537.4489904305	17221.1279462502
1394.9833	1378.74518755292	1378.73089457826	1064.16244178721	4465.35575	4472.72061591259	4472.71962057266	4265.61496679308	7875.2074	7875.48002094802	7875.39065329864	7560.82106584244	11130.28485	11076.7117396101	11076.5419901736	10772.0525783475	14380.6523	14311.8882964707	14311.5758332953	14026.8159340812	17478.60275	17473.6126291449	17473.240937737	17221.5900672059
1342.2756	1336.95130010962	1336.94480325224	1064.06574770789	4417.16675	4450.63584595392	4450.63541501162	4265.63438899269	7857.3753	7823.3019960634	7823.26043211896	7560.8601405413	11075.84385	11019.6959790333	11019.6164315185	10772.2704350757	14321.7237	14254.4372022486	14254.288647132	14027.5033496863	17437.00815	17420.2756085221	17420.097632353	17222.2413805594
1284.0168	1297.99188190466	1297.98901114323	1063.97322364991	4435.07995	4429.02801599343	4429.02783461741	4265.65412602367	7782.044	7777.32083068465	7777.30203897741	7560.92424670787	11033.54235	10971.1900110172	10971.1537735403	10772.5351836879	14262.3712	14206.8691421935	14206.8004844622	14028.2747759649	17445.44415	17376.8299025176	17376.747059817	17222.9912756833
1262.609	1262.28408443888	1262.28285132288	1063.88268804245	4402.37975	4408.30517671613	4408.30510250763	4265.6740054534	7783.5253	7737.39791925394	7737.38966022893	7561.00059242943	10984.96815	10930.5035599041	10930.4875125902	10772.8230521749	14213.6056	14168.0389186706	14168.0080722807	14029.0882882875	17431.23105	17341.9358055237	17341.8983203348	17223.7909467639
