	O1s_f(T)_Wave0		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave4		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave8		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave12		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave16		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3		O1s_f(T)_Wave20		O1s_f(T)_ fitresult		O1s_f(T)_ peak 2		O1s_f(T)_ peak 3
533.556	1812.7767	533.556	1852.86121199948	533.556	1416.77609401088	533.556	1502.27791992792	533.556	4473.91365	533.556	4475.72023843456	533.556	4382.72099878405	533.556	4358.15351936689	533.556	9998.7423	533.556	10033.2540983434	533.556	8423.91484908399	533.556	9168.07274416553	533.556	14909.42645	533.556	14879.306944517	533.556	12310.1361444957	533.556	13333.9682799819	533.556	19600.0489	533.556	19690.3315949025	533.556	16297.5022145646	533.556	17399.7524069729	533.556	23241.62655	533.556	23358.7782097126	533.556	19932.1828384406	533.556	20628.3780894463
533.656	1832.527	533.656	1841.87790338454	533.656	1461.90593147606	533.656	1446.07587588577	533.656	4470.85175	533.656	4479.03935136348	533.656	4401.85545825908	533.656	4342.35815941803	533.656	9950.6804	533.656	9932.7584747038	533.656	8497.9840992067	533.656	8993.59474880698	533.656	14783.99375	533.656	14706.3825224707	533.656	12398.5151915519	533.656	13072.9728695293	533.656	19524.5755	533.656	19473.0316889766	533.656	16380.954117724	533.656	17099.8519215516	533.656	23162.62345	533.656	23140.1204411741	533.656	19994.9676806071	533.656	20347.7805073335
533.756	1847.6835	533.756	1829.62140748306	533.756	1507.77777537186	533.756	1387.85863812645	533.756	4498.72485	533.756	4484.55863268313	533.756	4422.28746289417	533.756	4327.46542269983	533.756	9765.6467	533.756	9810.22869363947	533.756	8566.76622442211	533.756	8802.36972093102	533.756	14453.20935	533.756	14487.5554856152	533.756	12472.2459347652	533.756	12780.7231481106	533.756	19189.1072	533.756	19178.7524713316	533.756	16439.3754889154	533.756	16748.0026563792	533.756	22841.68575	533.756	22832.9244368621	533.756	20026.6268320111	533.756	20009.7703802099
533.856	1833.1661	533.856	1818.37319405531	533.856	1553.36985859549	533.856	1330.92944351305	533.856	4473.31495	533.856	4492.54929990739	533.856	4443.71101214385	533.856	4314.05252727167	533.856	9683.1878	533.856	9675.85052835704	533.856	8628.25216058651	533.856	8606.59249788797	533.856	14146.08105	533.856	14239.7063708257	533.856	12528.9595246382	533.856	12476.4685020981	533.856	18867.3775	533.856	18830.039872332	533.856	16470.8315834606	533.856	16368.6852864983	533.856	22529.02125	533.856	22460.2128696074	533.856	20026.110895646	533.856	19638.4197779126
533.956	1826.9587	533.956	1809.67340947697	533.956	1597.55868310967	533.956	1277.95193645848	533.956	4497.41325	533.956	4502.97495746551	533.956	4465.74034002256	533.956	4302.46884354834	533.956	9579.6384	533.956	9538.52180354382	533.956	8680.55594545358	533.956	8417.04686661146	533.956	13999.83595	533.956	13978.4884986086	533.956	12566.7872644557	533.956	12177.7309487135	533.956	18460.0486	533.956	18449.4027874742	533.956	16474.2812264311	533.956	15985.4498823339	533.956	22032.73995	533.956	22045.8421240252	533.956	19993.4663818921	533.956	19257.5385746767
534.056	1842.1285	534.056	1804.20755307161	534.056	1639.16217633627	534.056	1230.7936888645	534.056	4510.12415	534.056	4515.51380164828	534.056	4487.91778334996	534.056	4292.85023100096	534.056	9451.7926	534.056	9405.06952103309	534.056	8722.01045487405	534.056	8242.22695308404	534.056	13719.88485	534.056	13716.8973774264	534.056	12584.4633720254	534.056	11898.7717786116	534.056	18073.9776	534.056	18057.0743822761	534.056	16449.6356236676	534.056	15618.6184035633	534.056	21626.79855	534.056	21612.073392231	534.056	19929.8330694547	534.056	18888.2481839122
534.156	1825.2922	534.156	1801.82911794946	534.156	1676.99049570679	534.156	1190.49803640979	534.156	4503.59015	534.156	4529.60895094846	534.156	4509.72699927967	534.156	4285.15615096868	534.156	9311.6349	534.156	9279.8950817857	534.156	8751.25562428178	534.156	8087.89422283271	534.156	13522.55095	534.156	13464.4677918403	534.156	12581.3958798785	534.156	11649.7177438224	534.156	17736.2431	534.156	17669.4734491876	534.156	16397.7633999504	534.156	15283.741017856	534.156	21241.15415	534.156	21177.7729524794	534.156	19837.3795984879	534.156	18547.2462437197
534.256	1789.7846	534.256	1801.69416071372	534.256	1709.90156900323	534.256	1157.36310791557	534.256	4497.92575	534.256	4544.53589842578	534.256	4530.61123634609	534.256	4279.21884797682	534.256	9181.7735	534.256	9165.02947122341	534.256	8767.31265643226	534.256	7957.05845852372	534.256	13300.09025	534.256	13227.1102987173	534.256	12557.700135233	534.256	11436.364053995	534.256	17300.2701	534.256	17298.4774455553	534.256	16320.4414656248	534.256	14990.9182722131	534.256	20829.40195	534.256	20757.4027631358	534.256	19719.1823719675	534.256	18245.9183094889
534.356	1793.5749	534.356	1802.46923161536	534.356	1736.85782348315	534.356	1131.09302637526	534.356	4538.29245	534.356	4559.47623492309	534.356	4549.995906626	534.356	4274.79450079148	534.356	9038.908	534.356	9060.51021882873	534.356	8769.63857118529	534.356	7850.30016977979	534.356	13028.37995	534.356	13007.4814404562	534.356	12514.1922556476	534.356	11260.5511339693	534.356	16984.2511	534.356	16951.4529601612	534.356	16220.2555878644	534.356	14744.9309882434	534.356	20390.77375	534.356	20360.7928219311	534.356	19579.0571961827	534.356	17990.2785726613
534.456	1773.97	534.456	1802.56963329205	534.456	1756.98020495785	534.456	1110.98214861521	534.456	4593.72685	534.456	4573.58871402867	534.456	4567.3142714291	534.456	4271.6086016912	534.456	8965.0265	534.456	8964.95274168758	534.456	8758.15685753286	534.456	7766.31128469485	534.456	12854.26415	534.456	12805.7083964964	534.456	12452.3430582169	534.456	11120.9353460902	534.456	16651.162	534.456	16631.8656738949	534.456	16100.4584259421	534.456	14545.9921875634	534.456	20009.38705	534.456	19993.5505266887	534.456	19421.3565053283	534.456	17781.5819968657
