temp,dep,ab1,peak1,sig1,ab1_err,peak1_err,sig1_err,ab2,peak2,sig2,ab2_err,peak2_err,sig2_err,ab3,peak3,sig3,ab3_err,peak3_err,sig3_err,ab4,peak4,sig4,ab4_err,peak4_err,sig4_err
120.0,1.0,0.12730563,8.57014796,0.38508882,0.00066139,0.00171182,0.00260891,0.02750253,7.95113062,0.17794237,0.00070202,0.00363411,0.00398141,0.11443816,10.8,1.23,0.00078218,0.02838977,0.02359988,0.00432951,6.48910922,0.25,0.00022187,0.01530356,0.01554317
120.0,2.0,0.26593902,8.61280679,0.37866874,0.00149223,0.00144187,0.00253432,0.05243296,7.97663192,0.16683836,0.0012947,0.00385075,0.00412174,0.30766426,10.89690814,1.2,0.00254379,0.03083056,0.02300981,0.00725189,6.45,0.24863909,0.00049727,0.02008659,0.02020655
120.0,3.0,0.42669985,8.61925111,0.38248817,0.00226003,0.0013742,0.00242825,0.07769441,7.98510495,0.16238702,0.00200638,0.00384275,0.00426863,0.50263208,10.83366037,1.2,0.00310159,0.02391942,0.01902746,0.00923357,6.4705531,0.1970004,0.0008759,0.02179165,0.02193832
120.0,4.0,0.5853247,8.62380161,0.38417971,0.00241543,0.00105561,0.00186815,0.10714754,7.98205068,0.16543259,0.0020875,0.00298747,0.00326932,0.68772201,10.84443349,1.2,0.00338663,0.01900629,0.01502529,0.01149004,6.50695484,0.18278107,0.00095769,0.01773812,0.01787907
125.0,1.0,0.12990768,8.58778492,0.38220327,0.0006282,0.0019908,0.00270577,0.02739597,7.96897814,0.17290719,0.00076798,0.00351229,0.00389695,0.12800546,10.8,1.2,0.00073286,0.02337238,0.01958176,0.0033333,6.50106863,0.19937263,0.00022501,0.01574779,0.01591324
125.0,2.0,0.29565901,8.60861526,0.37919213,0.00127882,0.00175281,0.0023287,0.06190667,7.97140768,0.18016576,0.00149155,0.0034748,0.00355148,0.33863297,10.82369952,1.2,0.00163585,0.01918176,0.01553379,0.00418471,6.49023459,0.17592585,0.00049416,0.02416827,0.02436763
125.0,3.0,0.49229529,8.60925815,0.37,0.00580912,0.00683814,0.00613293,0.1320582,7.96961045,0.24529758,0.00856246,0.01365442,0.0089682,0.59412531,10.8,1.23,0.00576208,0.04335641,0.03711695,0.0198215,6.55,0.25,0.0014643,0.02252882,0.02313234
127.5,2.0,0.62861522,8.64160091,0.37522528,0.00292888,0.00156249,0.00224914,0.11727021,7.98096746,0.17249709,0.00281204,0.00384764,0.00389779,0.69033422,10.87433235,1.2,0.00445203,0.02434971,0.01866782,0.00574465,6.5168314,0.17976613,0.00113788,0.04143929,0.04176221
130.0,1.0,0.04579658,8.66431652,0.37,0.00054976,0.00424574,0.00582375,0.01,8.01198251,0.17724853,0.00055397,0.00907552,0.00892939,0.0373747,10.87843379,1.2,0.00083976,0.08428019,0.06431258,0.00424101,6.45,0.25,0.00017798,0.01236925,0.01244841
130.0,2.0,0.19351461,8.63289132,0.37,0.0021533,0.00395125,0.00550008,0.04010585,7.98506071,0.17603562,0.00219046,0.00876375,0.00862315,0.20316097,10.9,1.2,0.00361719,0.06621032,0.04932422,0.01002668,6.45,0.25,0.0006958,0.02045235,0.0205796
130.0,3.0,0.35001707,8.63250546,0.37754187,0.00240299,0.00232276,0.00336134,0.06671752,7.97800645,0.17292064,0.00234117,0.00542772,0.00554573,0.3904281,10.8764553,1.2,0.00363106,0.03546734,0.02735658,0.00905143,6.45,0.25,0.00075779,0.02471502,0.0248905
130.0,4.0,0.517335,8.63600795,0.37992718,0.00247802,0.00164101,0.00236417,0.09754017,7.97808338,0.1733619,0.00243712,0.00385291,0.00396792,0.5706665,10.86114881,1.2,0.00354565,0.02384046,0.01866942,0.00794599,6.48094546,0.19963482,0.0008901,0.02611036,0.02630508
135.0,3.0,0.04219702,8.66789786,0.37050144,0.00054042,0.0053303,0.00623323,0.01,7.99879607,0.21303281,0.00058408,0.01194053,0.00970252,0.04893441,10.85001118,1.2,0.00071713,0.05823146,0.04645158,0.00399076,6.45,0.24999999,0.00015674,0.01164492,0.01175456
135.0,4.0,0.43012035,8.6252941,0.3837723,0.00194088,0.00168116,0.00230807,0.08681043,7.97018458,0.18228441,0.00204547,0.0036112,0.00364048,0.48967751,10.82591427,1.2,0.00242291,0.01975209,0.01615626,0.00536175,6.48827987,0.20357239,0.00066929,0.02974629,0.03003065
135.0,5.0,0.75452693,8.62153738,0.38830771,0.0034239,0.00166729,0.00235647,0.14761055,7.97021261,0.17799644,0.00361202,0.00350936,0.00369941,0.86135949,10.82661004,1.2,0.00421745,0.01955477,0.01611835,0.00707986,6.47299273,0.2057209,0.00115899,0.03942468,0.03977844
137.5,2.0,0.12710791,8.62638065,0.37378,0.00106393,0.0030289,0.00422175,0.02690068,7.98091881,0.17695741,0.0011066,0.00637507,0.00634572,0.12695974,10.9,1.2,0.0017659,0.05200116,0.03897378,0.00438836,6.45,0.25,0.00033721,0.02266272,0.02281044
137.5,3.0,0.35211937,8.61881857,0.37971729,0.0017538,0.00187865,0.00257471,0.07149741,7.96883806,0.17988819,0.00188511,0.00402399,0.00405358,0.39676958,10.84985584,1.2,0.00243721,0.02390079,0.01888449,0.00382787,6.47628584,0.18035962,0.00066182,0.03628655,0.03655005
137.5,4.0,0.62406587,8.61745249,0.38241018,0.00308403,0.00181606,0.00244903,0.12709711,7.96071377,0.19031512,0.00314822,0.00402107,0.00382288,0.70068214,10.83911644,1.20250482,0.00391922,0.02279782,0.01860206,0.01283437,6.55,0.25,0.00089738,0.02097926,0.02131164
140.0,3.0,0.14428011,8.6323959,0.37615041,0.00139956,0.0035285,0.00485318,0.03019099,7.97977518,0.18255088,0.00143814,0.00766566,0.00743812,0.17015501,10.9,1.2,0.00227991,0.05034666,0.03796236,0.00606316,6.45,0.25,0.00043142,0.02100385,0.02114973
140.0,4.0,0.41298574,8.60819239,0.37978885,0.00273354,0.00316853,0.00349526,0.1000055,7.96067668,0.21427345,0.00349004,0.00607455,0.00509216,0.49649723,10.81244578,1.23,0.00304268,0.02626955,0.02211318,0.00991511,6.55,0.25,0.00078391,0.0239748,0.02456429
140.0,5.0,0.52836534,8.60135095,0.38060978,0.0050817,0.00522857,0.00515232,0.13712645,7.95993163,0.2315095,0.00722999,0.0095623,0.00717864,0.64474696,10.8,1.23,0.00511535,0.03518441,0.03033757,0.01660076,6.55,0.25,0.00132868,0.02440154,0.02506079
